name,class,health,food,antidote,infected
생존자1,시민,100,10,1,False
생존자2,시민,100,10,1,False
생존자3,시민,100,10,1,False
생존자4,시민,100,10,1,False
생존자5,시민,100,10,1,False
생존자6,시민,100,10,1,False
생존자7,시민,100,10,1,False
생존자8,시민,100,10,1,False
생존자9,시민,100,10,1,False
생존자10,시민,100,10,1,False
생존자11,시민,100,10,1,False
생존자12,시민,100,10,1,False
생존자13,시민,100,10,1,False
생존자14,시민,100,10,1,False
생존자15,시민,100,10,1,False
생존자16,시민,100,10,1,False
생존자17,시민,100,10,1,False
생존자18,시민,100,10,1,False
생존자19,시민,100,10,1,False
생존자20,시민,100,10,1,False
생존자21,시민,100,10,1,False
생존자22,시민,100,10,1,False
생존자23,시민,100,10,1,False
생존자24,시민,100,10,1,False
생존자25,시민,100,10,1,False
생존자26,시민,100,10,1,False
생존자27,시민,100,10,1,False
생존자28,시민,100,10,1,False
생존자29,시민,100,10,1,False
생존자30,시민,100,10,1,False
생존자31,시민,100,10,1,False
생존자32,시민,100,10,1,False
생존자33,시민,100,10,1,False
생존자34,시민,100,10,1,False
생존자35,시민,100,10,1,False
생존자36,시민,100,10,1,False
생존자37,시민,100,10,1,False
생존자38,시민,100,10,1,False
생존자39,시민,100,10,1,False
생존자40,시민,100,10,1,False
생존자41,시민,100,10,1,False
생존자42,시민,100,10,1,False
생존자43,시민,100,10,1,False
생존자44,시민,100,10,1,False
생존자45,시민,100,10,1,False
생존자46,시민,100,10,1,False
생존자47,시민,100,10,1,False
생존자48,시민,100,10,1,False
생존자49,시민,100,10,1,False
생존자50,시민,100,10,1,False
생존자51,시민,100,10,1,False
생존자52,시민,100,10,1,False
생존자53,시민,100,10,1,False
생존자54,시민,100,10,1,False
생존자55,시민,100,10,1,False
생존자56,시민,100,10,1,False
생존자57,시민,100,10,1,False
생존자58,시민,100,10,1,False
생존자59,시민,100,10,1,False
생존자60,시민,100,10,1,False
생존자61,시민,100,10,1,False
생존자62,시민,100,10,1,False
생존자63,시민,100,10,1,False
생존자64,시민,100,10,1,False
생존자65,시민,100,10,1,False
생존자66,시민,100,10,1,False
생존자67,시민,100,10,1,False
생존자68,시민,100,10,1,False
생존자69,시민,100,10,1,False
생존자70,시민,100,10,1,False
생존자71,시민,100,10,1,False
생존자72,시민,100,10,1,False
생존자73,시민,100,10,1,False
생존자74,시민,100,10,1,False
생존자75,시민,100,10,1,False
생존자76,시민,100,10,1,False
생존자77,시민,100,10,1,False
생존자78,시민,100,10,1,False
생존자79,시민,100,10,1,False
생존자80,시민,100,10,1,False
생존자81,시민,100,10,1,False
생존자82,시민,100,10,1,False
생존자83,시민,100,10,1,False
생존자84,시민,100,10,1,False
생존자85,시민,100,10,1,False
생존자86,시민,100,10,1,False
생존자87,시민,100,10,1,False
생존자88,시민,100,10,1,False
생존자89,시민,100,10,1,False
생존자90,시민,100,10,1,False
생존자91,시민,100,10,1,False
생존자92,시민,100,10,1,False
생존자93,시민,100,10,1,False
생존자94,시민,100,10,1,False
생존자95,시민,100,10,1,False
생존자96,시민,100,10,1,False
생존자97,시민,100,10,1,False
생존자98,시민,100,10,1,False
생존자99,시민,100,10,1,False
생존자100,시민,100,10,1,False
